Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Source,Explanation
Which of the following is an illustration of a risk avoidance procedure that a property manager might take?,The manager hires a firm to provide security guards,The manager increases the reserves for replacing the carpeting,The manager closes a stairwell that is in need of repair,The manager adds a rider to the building’s hazard insurance policy,3,PREP-AL-23.9,"A manager may choose to remove the source of the risk, such as by closing off a dangerous area of the building"
It is important for tenants to understand that,there are no insurance policies that specifically cover tenant property,their landlord is required to provide insurance coverage for their personal belongings,they do not need  any insurance coverage other than the standard fire and flood policy,their personal belongings are not covered by their landlord’s insurance policies,4,PREP-AL-23.10,Owner's policies do not cover what is owned by the tenant. Tenants should obtain their own renter's or tenant's insurance to cover personal belongings
"For the proper handling of client and owner monies, a property manager is generally required to",deposit all funds every month in the management firm’s central operating account,employ a notary to witness and record every deposit or payment received,maintain a special trust account in a qualified financial depository,disburse all funds to their legal owners on a weekly basis,3,PREP-AL-23.11,"State laws, usually incorporated into real estate commission rules and the state's real estate law, specify how a property manager is to manage trust funds. In general, the agent is to maintain a separate bank account for these funds, with special accounting, in a qualified depository institution"
A management agreement establishes a(n),agency relationship,trust account,power of attorney,vicarious liability,1,PREP-AL-23.12,"The management agreement establishes an agency agreement between manager and owner as well as specifying such essentials as the manager's scope of authority, responsibilities, objectives, compensation, and the term of the agreement"
Which of the follow statements about management compensation is false?,It may be a flat fee based on square footage,It may be a commission based on rent,It must be negotiated between the agent and the principal,It is a standardized amount established by the Universal Landlord and Tenant Act,4,PREP-AL-23.13,"Compensation--the management fee or other means of compensation to the manager; there may be a flat fee based on square footage, a rental commission based on a percentage of annual rent, a combination of these, or some other arrangement; in compliance with anti-trust laws, management fees are not standardized but must be negotiated by agent and principal"
Which of the following describes a net lease?,The tenant pays a base rent plus some or all of the operating expenses,"The tenant pays a fixed rent, and the landlord pays all operating expenses",The tenant pays a base rent plus an amount based on income generated in the leased space,The tenant pays a rent that increases at specified times over the lease term,1,PREP-AL-23.14,Net leases have the tenant paying rent plus some or all of the operating expenses attributable to the rented space. This arrangement is commonly used in office and industrial leases
"If an apartment contains a washer and drier that are included in the lease,",the lessee is required to maintain them at the lessee’s expense,the property manager is responsible for  maintaining them,the landlord retains the right to use them at any time,the lessee has the right to remove them,2,PREP-AL-23.15,"The lease should set forth items that are excluded or included in the leased property. For instance, a residential lease may include built-in appliances such as dishwashers but exclude freestanding ones, such as refrigerators. If an item is included, it does must be maintained by the property manager"
Which of the following is one of the landlord’s rights under most residential leases?,Enter the tenant’s property at any time without notice,Raise the rent at any time during the lease term after giving due notice,Expect prompt payment of rent,Retake possession of the premises at any time after giving due notice,3,PREP-AL-23.16,The landlord has the right to expect prompt payment of rent and adherence to building rules
How does an actual eviction occur?,A landlord obtains a court order to force the tenant to vacate the leased premises,The landlord’s agents forcibly remove the tenant from the premises,A tenant declares a landlord in default and vacates the leased premises,A landlord declares a tenant in default and takes possession of the leased premises,1,PREP-AL-23.17,"An actual eviction follows a procedure prescribed in state law and stated in the lease contract. The landlord must serve notice on the tenant a specified number of days before beginning the eviction suit. A court issues a judgment for possession, which requires the tenant to vacate. A court officer, such as a sheriff, may forcibly remove the tenant and possessions if the tenant refuses to vacate. The landlord can then enter and take possession"
The Universal Residential Landlord-Tenant Act,provides a standard lease form that is required in all 50 states,establishes a national board that hears complaints from tenants and landlords,aims to clarify imprecise language in residential leases,makes it illegal for landlords to demand more than two weeks’ rent as a security deposit,3,PREP-AL-23.18,"The Uniform Residential Landlord-Tenant Act is model legislation that has been adopted to a greater or lessor extent in many states. In addition to addressing fair and equitable remedies for breaches by both landlord and tenant, the act aims to clarify imprecise language in residential leases that can lead to confusion or exploitation"
Holly just bought a farm that consists of exactly 1/2 of a section.  How many acres is this farm?,"1,280 acres",640 acres,320 acres,160 acres,3,PREP-AL-24.1,640 acres of a section divided by 2 = 320 acres
"You are a salesperson with Performance Programs Brokerage and you just sold your first property for $800,000.  The commission is 6% and co-brokerage split is 50-50.  You negotiated a 65%-35% agent-broker split rate.  How much will you receive as a commission?","$48,000","$24,000","$20,500","$15,600",4,PREP-AL-24.2,"$800,000 x 6% = a total commission of $48,000 for all parties.  Your brokerage gets 50% which is $24,000.  You get 65% of the $24,000 which is $15,600."
"A property is listed for $415,000 and receives an offer for $435,000.  How much is the offer as a percent of the listing price (rounded to the nearest percent)?",105%,103%,97%,95%,1,PREP-AL-24.3,"$435,000 / $415,000 = 104.82%  Round up to 105% of listing price"
"Phillip wishes to value his new investment property utilizing a GRM (gross rent multiplier).  The property grosses $3,500 in monthly rent and typical GRMs in the area are 140.  What is valuation based on this data?","$350,000","$490,000","$140,000","$588,000",2,PREP-AL-24.4,"$3,500 x a GRM of 140 = $490,000"
"Devan decided to proceed with a $600,000 interest-only loan that has monthly interest payments of $3,250 (annual total of $39,000).  What is the interest rate of this interest-only loan?",5.50%,6.50%,7.25%,4.75%,2,PREP-AL-24.5,"$39,000 is the annual interest total.  Divide that by the total interest only loan to discover the interest rate.  $39,000 / $600,000 = 6.5%"
"Comparable A on a CMA has one more bedroom and one more bath than the subject.  However, it has 400 SF less living area.  If the comp sold for $1,000,000 and bedrooms are valued at $50,000, the baths @ $25,000, and living area @ $30,000, what is the indicated value of the subject?","$1,045,000","$995,000","$985,000","$955,000",4,PREP-AL-24.6,"Adjust the comparable.  $1,000,000 - $50,000 (for bedroom) - $25,000 (for bathroom) + $30,000 (for square feet surplus) = $955,000 value for the subject."
"A borrower pays $12,000 for points on a $400,000 loan.  How many points was she charged by the lender for points?",4.8 points,9 points,3	 points,40 points,3,PREP-AL-24.7,"$12,000 / $400,000 = .03 = 3 points"
"A borrower must have a 80%-20% LTV ratio on his financing package to avoid a higher interest rate.  If the borrower has $400,000 cash, how much house can he buy without incurring a higher interest rate?","$1,600,000","$1,800,000","$1,500,000","$2,000,000",4,PREP-AL-24.8,"$400,000 is divided by .2 to calculate a 80-20 LTV.  $400,000 / .2 = $2,000,000"
"An apartment building has an NOI of $400,000, current-year reserve expenses of $40,000, interest expense of $260,000, and annual depreciation of $100,000.  What is this property's tax liability for the year if the tax bracket is 28%?","$39,200","$28,000","$22,400","$112,000",3,PREP-AL-24.9,"To calculate tax liability we first need taxable income.  That is found via NOI + reserves - interest expense - depreciation. So that is $400,000 + $40,000 - $260,000 - $100,000 = a taxable income of $80,000.  $80,000 X 28% = $22,400"
"The current mill rate on a property totals 17 mills.  The taxable value of a property is $500,000.  What is the tax on this property?","$8,500",$850,"$1,700","$34,000",1,PREP-AL-24.10,"17 mills = 1.7% of the property's value.  $500,000 X .017 = $8,500"
"A homeowner sells her property on February 1.  Annual taxes on the property are $1,800.  What is the buyer's credit for the tax bill? Assume the seller owns the day of closing, and use the 365-day method","$1,640 buyer credit","$1,640 seller debit",$158 debit to the buyer,$158 credit to buyer,4,PREP-AL-24.11,"Property taxes are paid in arrears meaning the buyer will receive a credit for the first 32 days of the year.  $1,800 / 365 = $4.93 per day. $4.93 x 32 = $157.76 rounded up to $158 as a credit to the buyer."
"If the Alabama governor appoints a commissioner when the Senate is not in session, what is the result of that appointment?",The appointment is invalid,The appointed commissioner will fulfill a full term,The appointment must be confirmed when the Senate is back in session,The appointed commissioner will immediately be replaced,3,PREP-AL-25.1,The Alabama governor must appoint a commissioner when the Senate is in session
How many members of the AREC must have been an Alabama resident for at least 10 years?,1,7,8,9,4,PREP-AL-25.2,Nine members of the AREC must have been Alabama residents for at least 10 years
A real estate license that is not renewed by the required deadline and is placed on inactive status is a(n),expired license,lapsed license,suspended license,revoked license,1,PREP-AL-25.3,An expired license is a license that has not been renewed by the required license period deadline and has been placed on inactive status
Which of the following must meet Alabama licensing requirements?,A broker's administrative assistant,An apartment building manager,An individual selling cemetery lots,An individual selling his neighbor's property,4,PREP-AL-25.4,"The licensing requirements under Alabama law do not apply to a broker’s assistant who performs clerical or administrative duties, an apartment building manager, or a person selling cemetery lots"
Monies collected for the Revenue Fund are NOT used for which of the following?,Research and education,Investments by the State Treasurer,Payment of compensatory damages not paid by a licensee,AREC expenses,3,PREP-AL-25.5,"Moneys collected for the Revenue Fund can be used for research and education, investments by the State Treasurer, and AREC expenses"
Where should a member of the public file a complaint accusing a real estate licensee of committing a prohibited activity?,With the Commission,With the Governor’s Office,With the Division of Consumer Protection,With the nearest circuit court,1,PREP-AL-25.6,"When an individual, firm, corporation, or other business entity is believed to have violated Alabama real estate laws, the offended party may file a complaint with the Commission"
"When a hearing confirms that a license violation has occurred, the Commission may","impose a $10,000 fine against the violator",schedule a rehearing in circuit court,preside over the violator's appeal,order the violator to pay restitution,4,PREP-AL-25.7,"When a hearing confirms that a license violation has occurred, the Commission may order the violator to pay restitution, revoke or suspend the license, impose a fine of $100-$2,500, or reprimand the licensee"
"If found guilty in an AREC hearing, a license violator may file an appeal",within 30 days of the final order,only after a rehearing,before the Commission,after posting a $150 bond with the circuit court clerk,1,PREP-AL-25.8,"If found guilty in an AREC hearing, a licensee violator may file an appeal within 30 days of the final order"
"If the Recovery Fund balance falls below the required minimum balance, how will the Commission add monies to the Fund?",Take a percentage of the Revenue Fund monies,Invest what is left in the Fund to obtain profits,Apply to the State Treasury for additional funding,Collect an additional fee from all brokers and salespersons,4,PREP-AL-25.9,"If the Recovery Fund balance falls below the required minimum balance, the Commission can collect an additional fee from all brokers and salespersons"
"When there is a valid claim against a licensee who refuses or is unable to pay the ordered amount, the Recovery Fund will cover",court costs,violations of Article 3 of Alabama License Law,actual damages,acts of an inactive licensee,3,PREP-AL-25.10,"If there is a valid claim against a licensee who refuses or cannot pay the ordered amount, the Recovery Fund will cover the actual damages"
"In Alabama, a person who buys, sells, leases, procures, or exchanges real estate must be licensed if",the real estate is other than a commercial property,"the value of the real estate is greater than $10,000",the person owns the real estate,the person receives compensation,4,PREP-AL-26.1,"In Alabama, a person who buys, sells, leases, procures, or exchanges real estate must be licensed when receiving compensation"
"In Alabama, which of the following is a required qualification for obtaining a real estate salesperson license?",Must be a resident of any state in the U.S.,Must be at least 21 years old,Must be a U.S. citizen,Must not have had a license revoked in any state within the past 3 years,1,PREP-AL-26.2,"In Alabama, all license applicants must be at least 19 years old, U.S. citizens or legally present in the U.S. and have no revocation of a license within 2 years prior to the Alabama application date"
Licenses are renewed every,year,two years,even numbered year,odd numbered year,3,PREP-AL-26.3,Licenses are renewed every even numbered year
Which of the following is a FALSE statement regarding nonresident reciprocal license applicants?,They must sign an affidavit agreeing that the AREC has jurisdiction over his or her activities,The applicant's license in the other state must not be on inactive status,The applicant must provide a certificate of licensure that shows the license status over the previous 36 months,The applicant must complete 6 hours of AREC-approved coursework in Alabama real estate,2,PREP-AL-26.4,Applicants for a reciprocal license can have either an active or inactive license in another state
Alabama licensees are required to complete ____ hours of Risk Management coursework to meet continuing education requirements,3,5,9,15,1,PREP-AL-26.5,"Of the 12 CE hours, 3 of them must be focused on Risk Management.  The name of the risk management course is From Initial Contact to Concract."
How long does a licensee have to renew an expired license?,30 days,6 months,12 months,Expired licenses cannot be renewed,3,PREP-AL-26.6,"A licensee has 12 months to renew an expired license. If the license is not renewed in time, the individual will need to meet all license application requirements again"
Which of the following is required for someone holding a temporary license to upgrade to an original license?,Complete 60-hour prelicense course,Apply for the original license within the 2-year licensure period,Pay second Recovery Fund fee,Complete a 30-hour post license course,4,PREP-AL-26.7,"During the 12 months of temporary licensure, the salesperson must complete a 30-hour post-license course, apply for an original salesperson license, and pay all associated application fees"
Which of the following documentation is NOT accepted as proof of Alabama residency for a license applicant?,A valid driver's license,A car tag receipt,A voter's registration card,A U.S. visa,4,PREP-AL-26.8,"A U.S. visa is not accepted as proof of Alabama residency for a license applicant. Acceptable forms of proof are a deed to a house, a lease agreement, a property tax bill, a voter’s registration card, a driver’s license, or a car tag receipt"
What should be submitted along with a fingerprint card sent to the AREC for licensure application?,Affidavit from official who took the fingerprints,Certified copy of the fingerprint card for submission to qualifying broker,An Application to Review Criminal History Record Information,Certified copy of the applicant's state and national criminal history check,3,PREP-AL-26.9,An Application to Review Criminal History Record Information and a fingerprint card must be submitted to AREC for the licensure application
What must an applicant do within 90 days of passing the state license examination for a temporary license?,Complete the post license course,Secure a qualifying broker,Submit the applicant's fingerprints,Pay the Revenue Fund fee,2,PREP-AL-26.10,A temporary licensee applicant must secure a qualifying broker who will supervise the salesperson. This must be done within 90 days of passing the state license examination for a temporary license
Which of the following is an example of an acceptable continuing education elective course?,Communication Skills,Personal Development,Motivational Course,Sales Meetings,1,PREP-AL-26.11,"Licensees are required to complete 15 hours of continuing education courses every license period. Some subject matter is unacceptable, including motivational or personal development courses. Communication Skills is an acceptable continuing education elective course"
Which of the following continuing education courses may NOT be taken outside of Alabama?,Agency Disclosure,Writing Contracts,Risk Management,Handling Escrow Funds,3,PREP-AL-26.12,Out-of-state courses are considered electives. Risk Management is a required continuing education course so it must be taken in Alabama
Which of the following is exempt from completing continuing education coursework?,Reciprocal licensee holding Alabama license for 2 years,Licensee renewing within the first year of licensure,60-year-old licensee with 10 years of licensure,An inactive licensee who is reactivating the license,2,PREP-AL-26.13,Licensees licensed for less than 1 year and applying for first renewal are not required to complete the 15 hours of continuing education for that renewal period
"When a principal broker licensed in a state other than Alabama signs an agreement with an Alabama qualifying broker to allow the licensee to practice real estate in Alabama, that arrangement is called",dual agency,reciprocal agency,transactional facilitation,co-brokering,4,PREP-AL-26.14,"When a broker licensed in a state other than Alabama signs an agreement with an Alabama broker to allow the broker to practice real estate in Alabama, that arrangement is called co-brokering"
A licensee may only practice real estate with an,inactive license,expired license,active license,original license,3,PREP-AL-26.15,A licensee may only practice real estate with an active license
The general requirements for obtaining an Alabama broker license are,more complex than those for a salesperson license,less complex than those for a salesperson license,the same as those for a salesperson license,completely different than those for a salesperson license,3,PREP-AL-27.1,The general requirements for obtaining an Alabama broker license are the same as those for a salesperson license
Bob’s broker license was issued in January of 2026. When does he have to be finished with his post-license coursework?,December 2026,January 2027,January 2028,Broker licenses do not require completion of post-license courses,4,PREP-AL-27.2,Broker licenses do not require completion of post-license coursework
"In addition to meeting the general requirements for obtaining a broker license, an applicant is required to",completes all required continuing education prior to broker licensure,have held a salesperson license for 24 of the past 36 months,pay a second Recovery Fund fee,pass a polygraph test,2,PREP-AL-27.3,"In addition to meeting the general requirements for obtaining a broker license, an applicant is required to have held a salesperson license for 24 of the past 36 months"
Who is responsible for applying for a company license?,The company's president,Each licensee employed by the company,The company's qualifying broker,Companies are not required to be licensed,3,PREP-AL-27.4,The company’s qualifying broker is responsible for applying for a company license
Which of the following is NOT required to become a qualifying broker?,Must be an Alabama-licensed broker,Must have 5 years of real estate experience,Must have real estate as the principal business,Must be able to supervise real estate activities of all brokers registered to that office,2,PREP-AL-27.5,A qualifying broker must have at least 24 months of real estate experience before applying for a broker license
"If a licensee operates from a home office,",he may share the office with other licensees,the office may also serve as his living quarters,he may be a qualifying broker for other brokers using the same office space,he must have a sign that identifies the space as a real estate office,4,PREP-AL-27.6,Real estate professionals must maintain a place of business which is identified by a sign that includes the name of the company as it is licensed with the AREC
The FDIC protects bank account funds by,"insuring each client's funds up to $250,000",prohibiting commingling of funds,monitoring banking activities for each account holder,allowing only one client to access each account,1,PREP-AL-27.7,"The FDIC protects bank account funds by insuring each client’s funds up to $250,000"
Checks used as earnest money must be deposited into a trust account,immediately,within 5 days of receipt by the licensee,when the offer becomes a contract,at the seller's discretion,3,PREP-AL-27.8,Checks used as earnest money must be deposited into a trust account when the offer becomes a contract
Broker Bob received cash from a client as earnest money on a property. Bob hung onto the cash until the offer became a contract and then deposited the money into his personal account. What did Bob do wrong in handling the cash?,He didn't deposit the cash immediately,He deposited it into his personal account instead of the company's business account,He didn't immediately give the cash to his qualifying broker,He didn't do anything wrong,3,PREP-AL-27.9,Alabama license law requires the broker to deposit and account for all funds belonging to others
Trust funds must be disbursed within ____ of the transaction's closing,24 hours,7 days,5 business days,30 days,2,PREP-AL-27.10,Trust funds must be disbursed within 7 days of the transaction’s closing
What is commingling?,Two business associates dating,Two agents within the same company representing different clients in the same transaction,Two clients' funds being deposited into the same trust account,A client's funds and a broker's funds being deposited into the same trust account,4,PREP-AL-27.11,A licensee is required to maintain trust accounts separate from his or her personal or business accounts. Commingling is when a client’s funds and a broker’s funds are deposited into the same trust account
An accounting document currently used to show final costs of transferring property ownership is called,a good faith estimate,a client disclosure statement,an estimated closing statement,an accounting estimate,3,PREP-AL-27.12,An accounting document currently used to show final costs of transferring property ownership is called a closing statement
TRID requires a Loan Estimate to be provided to borrowers,at closing,within 5 days of closing,within 3 business days of loan application,at the time the purchase offer is signed,3,PREP-AL-27.13,TRID requires a Loan Estimate to be provided to borrowers within 3 business days of loan application
_______ requires that property buyers be informed about closing costs,RESPA,TILA,AREC,FDIC,1,PREP-AL-27.14,RESPA requires that property buyers be informed about closing costs
An individual who is provided brokerage services by a licensee without signing an agency agreement is a(n),consumer,customer,client,agent,2,PREP-AL-28.1,A customer is an individual who is provided brokerage services by a licensee without signing an agency agreement
RECAD was enacted by,AREC,Alabama License Law,Alabama Legislature,RESPA,3,PREP-AL-28.2,RECAD was enacted by Alabama Legislature
When must a broker provide the Real Estate Brokerage Services Disclosure form to a consumer?,At first contact,Within 5 days of first contact,Before confidential information is exchanged,Before available brokerage services are explained,3,PREP-AL-28.3,A broker must provide the non-agency disclosure form to a consumer before any confidential information is shared
RECAD requires qualifying brokers to maintain an agency disclosure office policy that sets,the brokerage services the company will offer,the hours the broker must work,rules for advertising real estate for sale,the areas in which listed properties may be located,1,PREP-AL-28.4,RECAD requires qualifying brokers to maintain an office policy that sets the brokerage services the company will offer
"An agency relationship is not assumed, implied, or created until",the first contact between a licensee and the consumer,confidential information is exchanged,brokerage services are explained,the licensee and the consumer enter into a written agreement,4,PREP-AL-28.5,"An agency relationship is not assumed, implied, or created until the licensee and the consumer enter into a written agreement"
In which brokerage relationship does the broker work with both parties in the same transaction without becoming an agent?,Transaction facilitator,Single agency,Subagency,Dual agency,1,PREP-AL-28.6,"In a transaction brokerage arrangement, the broker works with one or more parties in the same transaction without becoming an agent or fiduciary to any of the parties"
In which brokerage relationship does the agent represent only one client in a transaction?,Transaction facilitator,Single agency,Subagency,Dual agency,2,PREP-AL-28.7,"In a single agency brokerage arrangement, the single agent represents only one party in a transaction, and that party is the agent’s client"
Which brokerage relationship is illegal in many states but is legal in Alabama?,Transaction facilitator,Single agency,Subagency,Dual agency,4,PREP-AL-28.8,Limited consensual dual agency is illegal in many states but is legal in Alabama
To whom does the licensee owe the duty to accept and present offers?,The consumer,The client,Both of the above,Neither of the above,3,PREP-AL-28.9,A licensee must accept and present offers for both a consumer and a client
To whom does the licensee owe the duty to put the individual's best interest ahead of the interests of others in the transaction?,The customer,The client,Both of the above,Neither of the above,2,PREP-AL-28.10,A licensee must put the client’s best interest ahead of the interests of others in the transaction unless such loyalty to the client would violate the licensee’s legal duties to other consumers or unless such loyalty would violate a law or rule
"Broker Sue has just told a potential buyer that the property Sue has listed is a waterfront lot. In reality, the water is 1 block away but can be seen from an upstairs window. What has Sue done wrong?",She has been disloyal to her client,She has not exercised skill in providing services to this buyer,She has misrepresented the property,She has simply enhanced the property's image and has done nothing wrong,3,PREP-AL-28.11,Misrepresentation occurs when one party makes false statements about the property or the transaction that affects the other party’s decision to enter into the contract
Brokers sometimes face lawsuits by dissatisfied clients and/or consumers. For what offense do brokers face lawsuits most often?,Misrepresentation,Failure to disclose,Breach of contract,Practicing without a license,1,PREP-AL-28.12,The most common lawsuit brokers face deals with misrepresentation
"When a licensee does not disclose significant property defects out of ignorance, the licensee has committed",Innocent misrepresentation,Negligent misrepresentation,Fraudulent misrepresentation,Deliberate misrepresentation,2,PREP-AL-28.13,Negligent misrepresentation includes not disclosing significant property defects out of ignorance
Alabama uses the rule of caveat emptor in the sale of,undeveloped land,new construction,used residential property,commercial property,3,PREP-AL-28.14,Alabama uses the rule of caveat emptor in the sale of used residential property. Caveat emptor means “let the buyer beware.” The burden of examining the property before purchase falls on the buyer
"Based on Alabama license law, AREC expects listing agents to offer which of the following services when accepting listings?",Conduct open houses,Market on the Internet,Arrange inspections,Present offers,4,PREP-AL-28.15,AREC expects listing agents to present offers to sellers
"Joe has a client who wants $250,000 for her property. Joe has agreed that any amount he gets over the $250,000 will be his commission for the sale. What violation has Joe committed?",He has failed to fulfill his obligation to his client,He has been dishonest in the real estate transaction,He has made false promises to induce his client to sell,He has entered into a net listing agreement,4,PREP-AL-29.1,A net listing agreement is one that stipulates a net price the owner must receive for the sale of the property with any amount received over that net price going to the broker as his or her commission. Net listings are not allowed in Alabama
Sarah's seller has already signed a purchase agreement with a buyer. Sarah then convinces her seller to withdraw his agreement to the purchase price and substitute a higher selling price so Sarah can receive a higher commission. What violation has Sarah committed?,She has been dishonest in a real estate transaction,She has induced her client to breach a contract,She has failed to disclose the true terms of a contract,She has made false promises to influence her client,2,PREP-AL-29.2,The licensee must not convince either party to break the contract and substitute a new one that will benefit the licensee more than the original contract
"Carl has received an offer for his client's property. Carl thinks the offer is too low, so he doesn't present it to his client. What violation has Carl committed?",Dishonest dealings in a real estate transaction,Failure to disclose defects,Failure to fulfill obligations to transaction parties,Failure to disclose intent to purchase,3,PREP-AL-29.3,A licensee must present all written purchase offers to the seller
Pam has published the following advertisement: Cute 1-bedroom condo for sale in newly renovated building. Contact Pam at 555-1212 for details. What violation has Pam committed?,She has failed to identify herself as a licensee,Her advertising is deceitful,She has failed to disclose property defects,She has committed misrepresentation,1,PREP-AL-29.4,"In advertising, a salesperson must identify him or herself as a licensed real estate salesperson or broker. The salesperson or broker must also include the name of the qualifying broker"
Which of the following is NOT a violation of Alabama license law?,Charley allows his unlicensed brother to show properties for him,Charley did not tell a buyer about a previous termite infestation on the property,Charley places for sale signs on the street corners nearest to the property he is selling,Charley signs a listing agreement with an automatic renewal,3,PREP-AL-29.5,Placing a sign on a property a licensee is selling is allowed in Alabama
Which of the following is a violation of Alabama license law?,"Al presents every offer he receives to his client, even the bad ones",Al included his company's name on an ad,Al reported his address change 25 days after moving,Al represents both the seller and buyer in a real estate transaction with their verbal permission,4,PREP-AL-29.6,"Submitting a bad check to the AREC, whether inadvertently or deliberately, is against the law"
"Ed lists a property for $310,000 with a 6% commission rate. Because Ed plans to have his wife conduct the open house and show the property, he agrees to split the commission with her. He will pay her the commission himself. What violation has Ed committed?",He has allowed an unlicensed person to act on his behalf,He has paid her the commission himself instead of having the qualifying broker pay her,He has not disclosed to his client that he is using a subagent,We don't know which violation Ed has committed because we don't know if his wife is licensed or not,4,PREP-AL-29.7,"Commission cannot be paid to an unlicensed person, so if Ed’s wife is unlicensed then Ed is violating a law. We do not know the license status of Ed’s wife so the potential violation cannot be determined"
"Connie has received an offer on a home her client is selling. Connie's client counter offers, and then so does the buyer. The process goes back and forth four times until both the seller and the buyer are happy with the agreement. Connie then prepares an estimated closing statement for her seller. Has Connie violated any laws?","No, she presented all offers when they were received","No, she prepared an estimated closing statement as required","Yes, she waited too long to present the estimated closing statement","Yes, she allowed the negotiations to go on too long",3,PREP-AL-29.8,Licensees are required to prepare and present estimated closing statements to the buyer when an offer is written and to the seller when an offer is received
Which of the following violations could result in criminal charges?,Offering lottery inducements,Commingling funds,Undisclosed rebates,Failure to disclose licensee's intention to purchase,1,PREP-AL-29.9,Offering free lots or conducting lotteries to influence a party to purchase or lease real estate is a violation of the license law
Which of the following violations could result in criminal charges?,Failure to keep trust funds in FDIC account,Paying commission to unlicensed individual,Writing an NSF check to the AREC,Failing to disclose the true terms of a contract,3,PREP-AL-29.10,Writing an NSF check to the AREC is illegal and can result in criminal charges
Which of the following ways of specializing is common in the real estate brokerage business?,By background of client,By type of property,By years of experience in the business,By type of mortgage financing required,2,PREP-AL-P.1,
Which of the following is included in the legal concept of land?,A corn crop,A lake,A felled tree,An abandoned vehicle,2,PREP-AL-P.2,
A property abuts a non-navigable stream.  What does the owner own?,Land to the low-water mark,Underlying land to the middle of the waterway,Land to the high-water mark,All water to the middle of the waterway,2,PREP-AL-P.3,
"A retailer installs special display counters to exhibit her products.  At the end of the lease term, the retailer moves to another state, leaving the counters in the store.  At this point the counters are considered which of the following?","Trade fixtures, and therefore real property",Trade fixtures and therefore personal property,"Real property, since the trade fixtures were abandoned",Personal property that must be returned to the retailer,3,PREP-AL-P.4,
How is a legal life estate created?,By an owner's voluntary grant,By operation of law,Through the four unities,Through a defeasible conveyance,2,PREP-AL-P.5,
Which of the following is true of a homestead?,A homestead interest can be conveyed by one spouse,A homestead interest cannot be exempt from creditors,A homestead interest is a form of legal life estate,A homestead is any privately owned single-family residence,3,PREP-AL-P.6,
"Three people have identical rights in a property, share an indivisible interest, but may sell or transfer their interest without consent of the others.  This type of ownership is",joint tenancy,tenancy by the entireties,estate in severalty,tenancy in common,4,PREP-AL-P.7,
A condominium estate is distinguished by,ownership of a share in an association and a condominium lease on the owned unit,tenancy in common interest in airspace and common areas of the property,fee simple ownership of a unit and an undivided share of the common areas,fee simple ownership of an equal share of the entire property,3,PREP-AL-P.8,
An easement by prescription requires that,"the use be continuous, known, and permitted by the owner for a period of time","the use be continuous, open, and hostile for a required period of time",the owner of an adjoining property be landlocked,the owner of the affected property be an adverse possessor,2,PREP-AL-P.9,
In a lien-theory state,liens are recorded in trusts as opposed to title records,the lender records a lien while the borrower retains title to the mortgaged property,liened properties are foreclosed by strict foreclosure,trustees retain title during a mortgage period,2,PREP-AL-P.10,
"Five liens have been recorded against a certain house, in the following order: first mortgage, mechanic's lien, second mortgage, real estate tax lien, special assessment lien.  Which lien will be the last one to be paid from the proceeds of the sale of the house?",Special assessment lien,Mechanic's lien,Second mortgage lien,Real estate tax lien,3,PREP-AL-P.11,
"For a conveyance by deed between private parties to be valid, the deed must be",warranted by the grantor,recorded by the grantee,signed by the grantee,accepted by the grantee,4,PREP-AL-P.12,
"If a person dies with legal heirs and has left no valid will, what happens to real property owned by that person?",It is taken by the state according to the process called escheat,It is probated according to the terms agreed to by the heirs,It is probated and passes to the heirs by laws of descent,It is conveyed to the highest bidder at a public auction,3,PREP-AL-P.13,
"A miner openly lives and prospects on a 20,000-acre ranch.  After twenty years, the owner notices the miner and kicks him off the property.  The miner makes a claim of ownership to the property.  This claim will likely be","upheld, because the possession was not concealed",declined in favor of an easement by prescription,"declined, because the occupancy period was insufficient",declined since the owner was not aware of the possession,1,PREP-AL-P.14,
"A tenant obtains a low rental rate for a building, but agrees to pay all operating expenses.  This is an example of a",net lease,percentage lease,gross lease,proprietary lease,1,PREP-AL-P.15,
"In accordance with the statute of frauds,",leases in excess of one year must be recorded to be enforceable,oral leases are not enforceable,a five-year lease must be in writing to be enforceable,an unwritten lease is fraudulent,3,PREP-AL-P.16,
A property owner in a development is required to have a shake roof.  This requirement is most likely to come from,a deed restriction,a zoning ordinance,a building code,a condominium declaration,1,PREP-AL-P.17,
A master plan can be best described as,an annual review of all building permits and zones,a forecast of existing land use patterns in a market,a plat of subdivision preceding the design of a land use development,a fusion of land use laws and local land use objectives and strategies,4,PREP-AL-P.18,
A zoning board of adjustment might give favorable consideration to a land use variance if,compliance would cause the owner undue and unjustified hardship,the appeal is prepared by professional land use attorneys employing the correct procedures,the owner can demonstrate a valid homestead exemption,there is a grandfathering clause in the deed,1,PREP-AL-P.19,
What are the dimensions of a township?,One mile square,Six miles by one mile,One mile by one mile,Six miles by six miles,4,PREP-AL-P.20,
A tract of land is described as the W 1/2 of the N 1/2 of the NE 1/4 of Section 16.  What is its acreage?,20 acres,40 acres,80 acres,160 acres,2,PREP-AL-P.21,
"As an economic product, real estate is unique because",it has appreciation value,the demand must come to the supply,it is quick to respond to supply-demand imbalances,its appeal is predictable,2,PREP-AL-P.22,
A critical determinant of commercial and residential property demand in a market is,availability of land,employment,existing supply of properties,per capita income,2,PREP-AL-P.23,
