Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Source,Explanation
How many jury members are required for a complaint appeal hearing?,None,5,7,12,1,PREP-AL-STD-25.4,A complaint appeal hearing is conducted by the court without a jury and is confined to the record.
Members of the AREC are appointed by,the Attorney General,the State Treasurer,the Senate,the Governor,4,PREP-AL-STD-25.5,Members of the AREC are appointed by the Governor.
Which of the following statements about the AREC is TRUE?,The Executive Director is appointed by the governor,Commissioners are not liable for damages resulting from their acts as Commissioners,The Commission consists of ten members,A new chairperson of the Commission is elected every year,2,PREP-AL-STD-25.6,Commissioners are not liable for damages resulting from their acts as Commissioners.
A license that is no longer valid is a(n),expired license,original license,lapsed license,inactive license,3,PREP-AL-STD-25.7,A license that is no longer valid is a lapsed license.
Which of the following is required to hold an Alabama real estate license?,A property owner selling his own property,An uncompensated person acting under a power of attorney,An attorney performing duties as an attorney,An on-site condominium building manager,4,PREP-AL-STD-25.8,An on-site condominium building manager must hold an Alabama real estate license.
Which of the following statements is TRUE?,The Real Estate Commission Revenue Fund is used to reimburse license fees for those applicants not issued a license,"The purpose of the Real Estate Commission Revenue Fund is to pay claims of aggrieved persons resulting from the misconduct of a broker or salesperson,",Monies in the Real Estate Commission Revenue Fund must be disbursed in the fiscal year they are collected or they are transferred to the Real Estate Research and Education Center,Funds disbursed from the Real Estate Commission Revenue Fund must have been budgeted in accordance with Alabama real estate law,4,PREP-AL-STD-25.9,Funds disbursed from the Real Estate Commission Revenue Fund must have been budgeted in accordance with Alabama real estate law.
Which of the following is NOT required in a formal complaint filed against a broker or salesperson?,The name of the accused party,The issuance date of the accused's license,The specific law the accused allegedly violated,The amount of damages the complainant suffered as a result of the accused's conduct,4,PREP-AL-STD-25.10,"In a formal complaint filed against a broker or salesperson, the amount of damages the complainant suffered as a result of the accused’s conduct is not required to be disclosed."
Which of the following statements is FALSE?,"If the complainant and the accused reach a settlement and withdraw the complaint, AREC cannot hold a hearing on the matter",The AREC may subpoena witnesses at the request of the accused,Witnesses are paid per diem fees and mileage for appearing at a hearing,The party requesting a witness subpoena is responsible for the witness's fees,1,PREP-AL-STD-25.11,"Any licensed or unlicensed person or entity who has been charged with a real estate law violation has the right to a hearing. If the party filing the complaint and the accused reach a settlement and withdraw the complaint, the Commission may still decide to hold a hearing on the matter."
Violations of Alabama license law are,Class A felonies,Class A misdemeanors,Level Two misdemeanors,Common misdemeanors,2,PREP-AL-STD-25.12,Violations of Alabama license law are Class A misdemeanors.
Which of the following penalties may be imposed for an Alabama license law violation?,Permanent revocation of the license,"$7,500 fine for each violation",1 year jail sentence,Licensee reprimand,4,PREP-AL-STD-25.13,"If a licensee is found guilty of a license law violation, the Commission may reprimand the licensee."
When might the AREC issue a cease and desist order?,To stop a licensee from engaging in license law violations,To stop a complainant from filing frivolous complaints,To stop an unlicensed person from engaging in activities which require a license,To stop a licensee from filing for a rehearing,3,PREP-AL-STD-25.14,The AREC may issue a cease and desist order to stop an unlicensed person from engaging in activities which require a license.
Recovery Fund payments for judgments against one licensee are limited to,"$25,000 per violation","$2,500 per violation","$75,000 total","$50,000 total",4,PREP-AL-STD-25.15,"Recovery Fund payments for judgements against one licensee are limited to $50,000 in total."
The  primary goal of the Alabama Real Estate Commission is to,regulate real estate professionals,license real estate professionals,educate real estate professionals,protect the general public,4,PREP-AL-STD-26.1,The primary goal of the Alabama Real Estate Commission is to protect the general public
Which of the following does NOT require an Alabama real estate license?,Doing a favor for a family member by finding a home for the member to purchase,Charging  a friend a discounted commission rate for selling the friend's house,Negotiating the sale of a home for a client at the standard commission rate,Auctioning property located in Alabama,1,PREP-AL-STD-26.2,An Alabama real estate license is not required when doing performing a license activity without compensation
An individual applying for an Alabama real estate license must,be 21 years old,be a college graduate,provide proof he or she is a U.S. citizen,show his or her state of residence,4,PREP-AL-STD-26.3,An individual applying for an Alabama real estate license must show his or her state of residence
Nonresidents of Alabama must apply for a(n),temporary license,reciprocal license,restricted license,inactive license,2,PREP-AL-STD-26.4,"If an applicant is a nonresident of Alabama and holds a current license in another state, the individual must apply for a reciprocal salesperson license in Alabama"
The following document would not show proof of Alabama state residency as required for an Alabama real estate license,Alabama driver's license,Alabama property tax bill,Alabama property utility bill,Alabama car tag receipt,3,PREP-AL-STD-26.5,An Alabama property utility bill would not show proof of Alabama state residency as required for an Alabama real estate license
"To obtain an Alabama temporary real estate license, the applicant must complete a",30-hour post-license course,60-hour pre-license course,2 years of college level real estate education,15 hours of Risk Management course work,2,PREP-AL-STD-26.6,"To obtain an Alabama temporary real estate license, the applicant must complete 60-hour pre-license course"
A temporary real estate license is valid for,2 years,6 months,1 year,until the licensee applies for a permanent license,3,PREP-AL-STD-26.7,A temporary real estate license is valid for 1 year
When must a licensee complete the post-license course work?,During the first 6 months of temporary licensure,After obtaining a permanent salesperson license,During the 12 months of temporary licensure,During each 2-year license period,3,PREP-AL-STD-26.8,A licensee must complete the post-license course during the 12 months of temporary licensure
What is the deadline for a licensee holding a temporary license to apply for an original license?,The date the temporary license lapses,One month after receiving the temporary license,12 months after completing the post-license course work,Within the first 6 months of temporary licensure,1,PREP-AL-STD-26.9,The licensee holding a temporary license must apply for an original license on or before midnight on the last day of the month 1 year from the issuance of the temporary license
When does an original license expire?,Every 2 years at midnight on the last day of the month in which the license was issued,At midnight on September 30 of the final year of the 2-year license period,At midnight on August 31 of the final year of the 1-year license period,A permanent license never expires,2,PREP-AL-STD-26.10,A original license expires at midnight on September 30 of the final year of the 2-year license period
When may an expired license be renewed?,Between September 1 and September 30 of the final year of the license period,By August 31 of the final year of the license period,During the 12 months following the expiration date,Expired licenses may not be renewed,3,PREP-AL-STD-26.11,An expired license can be renewed during the 12 months following the expiration date
Alabama continuing education course work consists of,3 hours of Risk Management and 9 hours of AREC-approved electives,2 hours of Risk Management and 6 hours of AREC-approved electives,1 Risk Management course and 10 AREC-approved elective courses,3 hours of Risk Management and 12 hours of AREC-approved core real estate courses,1,PREP-AL-STD-26.12,Alabama continuing education course work consists of 3 hours of Risk Management and 9 hours of AREC-approved electives
What may be substituted for the Alabama continuing education requirements?,15 hours of continuing education course work completed in another state,Excess continuing education hours completed in the prior license period,State Legislature service during the license period,Community service hours equal to the number of required continuing education hours,3,PREP-AL-STD-26.13,"State Legislature service may be substituted for the Alabama continuing education requirements. Licensees on inactive status and licensees who turn 65 years old on or before September 30, 2000, and have been licensed for 10 years prior to that are also exempt"
What is a reciprocal license?,A license issued in one state in exchange for a license issued in another state,A license issued as a result of a co-broker agreement,An Alabama license issued to an individual who holds a license in another state,An Alabama salesperson license issued when the licensee transfers to a new qualifying broker,3,PREP-AL-STD-26.14,A reciprocal license is an Alabama license issued to an individual who holds a license in another state
An applicant for a reciprocal license must,complete 6 hours of Alabama course work and pass a written examination on national and Alabama state real estate,complete 15 hours of Alabama course work and pass a written examination on national and Alabama state real estate,complete 6 hours of Alabama course work and pass a written examination on Alabama real estate,complete 60 hours of Alabama course work and pass a written examination on national and Alabama state real estate,3,PREP-AL-STD-26.15,An applicant for a reciprocal license must complete 6 hours of Alabama course work and pass a written examination on Alabama real estate
Both Alabama licensees and reciprocal licensees must complete,15 hours of AREC-approved continuing education course work every 2 years,6 hours of AREC-approved continuing education course work every 2 years,30 hours of post-license course work every 2 years,9 hours of Risk Management course work every year,1,PREP-AL-STD-26.16,Both Alabama licensees and reciprocal licensees must complete 15 hours of AREC-approved continuing education course work every 2 years
Which of the following is required in a co-broker agreement between an out-of-state principal broker and an Alabama qualifying broker?,The Alabama qualifying broker must approve all advertisements created by the nonresident broker,The Alabama qualifying broker must allow the out-of-state licensee to deposit funds in a bank located solely in the out-of-state licensee’s home state,The Alabama qualifying broker must supervise all property showings the nonresident broker performs,The an out-of-state principal broker must provide AREC with proof of his or her out-of-state license,3,PREP-AL-STD-26.17,"If there is a co-broker agreement between a nonresident broker and an Alabama broker, the Alabama broker must supervise all property showings the nonresident broker performs"
A  copy of the co-broker agreement must be filed with AREC within ________ of execution,5 business days,10 days,30 days,1 year,2,PREP-AL-STD-26.18,A copy of the co-broker agreement must be filed with AREC within 10 days of execution
When must an inactive licensee complete continuing education requirements?,Within 1 year of reactivating the license,Every license period,Prior to reactivating the license,Never,3,PREP-AL-STD-26.19,An inactive licensee must complete the continuing education requirements prior to reactivating the license
Applicants for an Alabama real estate broker license must,be at least 21 years old,be a U.S. citizen,be an Alabama resident,be a high school graduate or the equivalent,4,PREP-AL-STD-27.1,"Applicants for an Alabama real estate broker license must be a high school graduate or the equivalent, at least 19 years old, a U.S. citizen or permanent resident alien, and a resident of any U.S. state"
Which of the following statements is FALSE?,The AREC requires both state and national criminal history checks on any licensure applicant,The AREC is responsible for the cost of the criminal history check on any licensure applicant,The applicant for broker licensure must submit fingerprints to the appropriate agency,The applicant may be denied licensure based on the findings of a criminal history check,2,PREP-AL-STD-27.2,The applicant is responsible for the cost of the criminal history check which must be current to the date of license issuance
Which of the following statements is TRUE?,An applicant for broker licensure must complete a 90-hour pre-license real estate course,A broker applicant must have been licensed as a real estate salesperson in Alabama for at least 24 of the preceding 36 months,An applicant for broker licensure must have been licensed in any state for at least 36 months prior to applying for licensure in Alabama,Proof of prior salesperson licensure must be submitted to the AREC along with the broker license application,4,PREP-AL-STD-27.3,Proof of prior salesperson licensure must be submitted to the AREC along with the broker license application
Which of the following statements is TRUE?,An applicant for broker licensure must pass only the state licensure examination with a score of 70%.,A broker applicant must pass the licensure examination within 6 months of pre-license course completion,"Once meeting all other requirements, a broker applicant has 12 months in which to take and pass the licensure examination",There is no fee associated with taking the licensure examination,2,PREP-AL-STD-27.4,A broker applicant must pass the licensure examination within 6 months of pre-license course completion
Who is responsible for the actions of salespersons and brokers at a company's branch office?,The main company qualifying broker,The branch office qualifying broker,The supervising qualifying broker,Both the main company qualifying broker and the branch office qualifying broker,4,PREP-AL-STD-27.5,The main company qualifying broker and the branch office qualifying broker are responsible for the actions of salespersons and brokers at a company’s branch office
"Qualifying Broker Quinn is not interested in having his company represent buyers. Brokers Bill and Bob, who work for Quinn, want to represent property buyers. Under Alabama law, what must Bill and Bob do to represent buyers?",Transfer their licenses to another qualifying broker who represents buyers,Stay with Quinn and represent buyers outside of their working hours with Quinn,Tell Quinn they do not agree with his decision and represent buyers anyway,Report Quinn to the AREC for limiting his business services,1,PREP-AL-STD-27.6,"Every activity a licensee performs must be performed in the name of the licensed company and under the qualifying broker. Therefore, Bill and Bob cannot represent buyers unless Broker Quinn agrees to it. Thus, they have to transfer their licenses to another qualifying broker who represents buyers"
Which of the following is NOT an intended consequence of Alabama law?,The qualifying broker is responsible for the actions of brokers under his or her supervision,The qualifying broker and his or her associates have  an employer-employee relationship,The qualifying broker is liable for any damage caused by his or her associate brokers who violate license law,The qualifying broker is responsible for assuring that all transactions performed by his or her licensees comply with AREC rules,2,PREP-AL-STD-27.7,"Even though the law requires the qualifying broker to supervise the associate brokers and salespersons licensed under him or her, the law is not meant to establish an employer-employee relationship. The broker and licensee may establish such a relationship, but the law does not automatically establish it for them"
A  qualifying broker may serve more than one company if,the AREC gives written consent,the qualifying broker's license is registered under all the companies,he or she obtains written consent from all of the companies,the qualifying broker will be conducting business from all of the separate company locations,3,PREP-AL-STD-27.8,A qualified broker may serve more than one company if he or she obtains written consent from all of the companies
Which of the following is FALSE regarding temporary qualifying brokers?,A temporary qualifying broker is designated for a new company until the permanent qualifying broker obtains the appropriate license,The temporary qualifying broker must be a broker or have been a licensed salesperson for 1 year prior to designation as the temporary qualifying broker,The temporary qualifying broker can only serve as such for 6 months,The company license will become inactive if a qualifying broker is not designated within the required time frame,1,PREP-AL-STD-27.9,A temporary qualifying broker is typically appointed if a company’s qualifying broker dies or becomes disabled. A company is allowed to operate under the temporary qualifying broker for no more than 6 months. A temporary qualifying broker must have been licensed for at least 1 year prior to the application being submitted
"When a salesperson receives earnest money from a client for the purchase of a property, what must the salesperson do with the money?",Immediately deposit the money into an escrow account,Open a new trust account to hold the funds separate from other funds,Deposit the money into the real estate company's business account for safe keeping,Submit the money to his or her qualifying broker,4,PREP-AL-STD-27.10,"A salesperson must submit to his or her qualifying broker all the funds that come into the salesperson’s possession, including earnest money for the purchase of a property"
"If a purchase contract involves more than one qualifying broker, who should deposit related funds into an escrow account?",The seller's qualifying broker,The buyer's qualifying broker,The client's attorney,Any of the involved qualifying brokers,4,PREP-AL-STD-27.11,"If a purchase contract involves more than one qualifying broker, any of the involved qualifying brokers can deposit related funds into an escrow account"
When are trust funds to be disbursed?,As needed,At closing,Within 7 days of closing,On a date agreed upon by all involved parties,3,PREP-AL-STD-27.12,Trust funds should be disbursed within 7 days of closing
"Under Alabama law, qualifying brokers may",deposit all funds belonging to others into his or her business account,commingle trust funds,use trust funds as necessary for the qualifying broker's personal use,hold trust funds belonging to multiple clients in the same trust account,4,PREP-AL-STD-27.13,"Under Alabama law, qualifying brokers may hold trust funds belonging to multiple clients in the same trust account"
Which of the following will NOT occur if a licensee violates provisions of Alabama law pertaining to trust funds?,The licensee may have his or her license revoked,"The licensee may have a $7,000 fine imposed for each violation",The licensee may have his or her license suspended and have a fine imposed,The licensee may be reprimanded,2,PREP-AL-STD-27.14,"If a licensee violates provisions of Alabama law pertaining to trust funds, the Commission can impose a fine of at least $100 but not more than $2,500, suspend or revoke the licensee’s license, reprimand the license, or suspend or revoke the licensee and impose a fine"
"Under Alabama law, what is the time frame for reconciling trust fund accounts?",Monthly,Within 5 days of receiving the bank statement,Annually,There is no time frame designated under Alabama law,4,PREP-AL-STD-27.15,"Under Alabama law, there is no time frame for reconciling trust fund accounts"
When must a licensee provide an estimated closing statement to a potential buyer?,When the purchase offer becomes a contract,When the buyer signs the purchase offer,When the seller signs the purchase offer,5 days prior to closing,2,PREP-AL-STD-27.16,A licensee must provide an estimated closing statement to a potential buyer when the buyer signs the purchase offer
Which of the following would be considered credits for the buyer?,"Title insurance, property inspections, escrow fees","Commissions, excise taxes, title clearing","Earnest money deposits, down payment, adjustments for attorney fee overpayment","Prepaid property insurance, prepaid utilities, prepaid property taxes",3,PREP-AL-STD-27.17,"Earnest money deposits, down payment, and adjustments for attorney fee overpayment are considered credits to the buyer"
Failure to disclose estimated closing costs is a violation of,Fair Credit Act,RESPA,IRS reporting regulations,Federal Mortgage Fair Financing Act,2,PREP-AL-STD-27.18,Failure to disclose estimated closing costs is a violation of RESPA
"Homeowner Joe wants to advertise his vacation home for rent. If Joe advertises the home himself instead of obtaining a licensed real estate broker to advertise the home, what Alabama law will Joe be violating?",Article 1 of Chapter 27 of Alabama License Law,Article 2 of Chapter 27 of Alabama License Law,AREC Rules,None,4,PREP-AL-STD-27.19,"Alabama license law exempts property owners from licensing requirements when the owners are managing their own property or engaging in a real estate transaction involving their own property. A property owner can manage, lease, or sell his or her own property without needing to be licensed as a real estate salesperson or broker"
"Licensee Lou wants to advertise his own home for sale and will disclose his licensee status. If Lou advertises the home himself instead of obtaining another licensed real estate broker to advertise the home, what Alabama law will Joe be violating?",Article 1 of Chapter 27 of Alabama License Law,Article 2 of Chapter 27 of Alabama License Law,AREC Rules,None,4,PREP-AL-STD-27.20,"Alabama license law exempts property owners from licensing requirements when the owners are managing their own property or engaging in a real estate transaction involving their own property. A property owner can manage, lease, or sell his or her own property without needing to be licensed as a real estate salesperson or broker"
Broker Blake is handling the sale of a home and wants to place for sale signs on the street corner near the home. To whom will Blake need to pay a fee for placing the sign on the street corner?,The local city or town government,The Department of Transportation,The local county government,No one,4,PREP-AL-STD-27.21,"Real estate licensees have the legal right to advertise property for sale, lease, or transfer using signs that are affixed to or located on the property itself. Alabama does not allow a municipal corporation or local government to impose a fee or tax on the signs, whether the signs are located on or near the property"
Which closing statement(s) is the broker required to retain?,His or her client's signed statement,Both the buyer's and the seller's signed statements,The statement signed by both the seller and the buyer,None,1,PREP-AL-STD-27.22,A broker is required to retain his or her client’s signed statement
"If Broker Buford is representing Seller Sam in the sale of Sam's property and Buford would like to purchase the property himself, what must he disclose to Sam to avoid violation of Alabama law?",He must disclose that he is a licensed real estate broker,He must disclose how he will finance the mortgage,He must disclose that he is the intended buyer,He must disclose that the seller should obtain a different broker for the transaction,3,PREP-AL-STD-27.23,"If the licensee is seeking to purchase an interest in a property being sold by his or her brokerage company, the licensee must disclose his or her intention to the property seller or the seller's agent. The licensee must inform the seller that he or she is a licensed real estate salesperson or broker and that he or she is the intended buyer of the property"
Which of the following advertisements would comply with Alabama law?,"4-bedroom home on beautiful lake, $400,000 or best offer, contact Real Estate Broker Joseph Smith for information. (The home has 4 bedrooms, is across the street from a lake, and the seller's $400,000 price is firm.)","Stunning 3-bedroom townhouse in prime downtown area, reasonable homeowner association fees, contact 800-555-5555 for more information. (The townhouse has 2 bedrooms and a bonus area with no closet and is located in an area with high crime rates.)","Reasonably priced 2-bedroom, 2-bath home in quiet neighborhood near schools and shopping, contact Joseph Smith, a licensed Real Estate Broker, at 800-555-5555 for details. (The house has 2 bedrooms and 2 baths and is located in a quiet neighborhood near a small park, 2 schools, and a small shopping center.)","Call Joe Smith for information on this beauty – 5 bedrooms, 3 baths, in-ground swimming pool, attached garage, located in quiet neighborhood. (The house has an above-the-ground pool, a garage that has been converted to the 5th bedroom, and is located across the street from a busy dog park.)",3,PREP-AL-STD-27.24,"When advertising real estate, licensees must be honest. They are prohibited from making false promises that could potentially influence, persuade, or induce a consumer to enter into a contract. They are also prohibited from flagrant misrepresentation in any form of advertising. Publishing any advertisement that deceives the public or is likely to deceive the public is against the law"
A  mortgage loan origination fee would be a,credit to the seller,credit to the buyer,debit to the seller,debit to the buyer,4,PREP-AL-STD-27.25,A mortgage loan origination fee would be a debit to the buyer
Prorated prepaid property taxes would be a,debit to the seller,credit to the buyer and the seller,debit to the buyer and credit to the seller,debit to the buyer and the seller,3,PREP-AL-STD-27.26,Prorated prepaid property taxes would be a debit to the buyer and credit to the seller
An agent who has a written agency agreement to represent both the buyer and the seller in the same real estate transaction is a,single agent,sub-agent,dual agent,transaction facilitator,3,PREP-AL-STD-28.1,A limited consensual dual agent is an agent who has a written agency agreement to represent both the buyer and the seller in the same real estate transaction
An individual who is provided brokerage services by a broker with no agency agreement is a,customer,seller,client,buyer,1,PREP-AL-STD-28.2,An individual who is provided brokerage services by a broker with no agency agreement is a customer
"If a consumer refuses to sign the Brokerage Services Disclosure form, the licensee should",forego use of the form,sign the form for the consumer,refuse to work with that consumer,note the refusal on the form,4,PREP-AL-STD-28.3,"If a consumer refuses to sign the Brokerage Services Disclosure form, the licensee should note the refusal on the form"
What written document is required to be provided to consumers before brokerage services are provided?,Consumer Agreement form,Real Estate Brokerage Services Disclosure form,Consumer Information Booklet,Alabama Brokerage Overview Booklet,2,PREP-AL-STD-28.4,The AREC wrote a Consumer Information Booklet to tell consumers what they need to know when working with a real estate licensee
"If a licensee is representing both the buyer and the seller in a transaction and the two parties each want a different selling price for the property, what should the licensee do?",Determine fair market value for the property and require both parties use that price,Allow the seller to set the price and advise the buyer to pay the seller's price,"Advise the seller if he wants to sell the property, he should accept the buyer's price offer",Advise both parties equally and help them negotiate a price that is fair for both of them,4,PREP-AL-STD-28.5,"If the licensee is representing both the buyer and the seller, he or she must strive to represent both equally and fairly, avoiding conflict whenever and wherever possible"
What must be disclosed under RECAD?,The licensing hierarchy at the real estate company,The duties of the broker to the client,The available brokerage services,The broker's skills and experience,3,PREP-AL-STD-28.6,RECAD requires brokers to disclose a non-agency relationship and the available brokerage services to a consumer as soon as reasonably possible
What is the main difference between a customer and a client?,"The customer does not pay for services, but the client does",The licensee has obligations only to the client and not to the customer,The licensee must provide an agency disclosure form to a client but not to a customer,"The client has signed an agency agreement, but the customer has not",4,PREP-AL-STD-28.7,"The main difference between a customer and client is that a client has signed an agency agreement, but the customer has not"
In which brokerage arrangement does the licensee work with both the seller and the buyer with no signed agency agreement?,Transaction facilitator,Single agency,Subagency,Dual agency,1,PREP-AL-STD-28.8,"In a transaction brokerage arrangement, the licensee works with both the seller and the buyer with no signed agency agreement"
In which brokerage arrangement does the agent represent both the buyer and seller in a transaction with both parties’ written consent?,Transaction facilitator,Single agency,Subagency,Dual agency,3,PREP-AL-STD-28.9,"In the subagency arrangement, the agent represents one client and performs duties to assist the primary agent"
In what way does Alabama mandate consumers' rights?,By requiring a signed agency agreement before the broker can work with the consumer,By not allowing a broker to represent more than one party in the same transaction,By requiring a minimum level of services,By use of the Commission Disclosure Booklet,3,PREP-AL-STD-28.10,Alabama law requires a minimum level of services and obligations on all real estate licensees to all consumers regardless of their relationship
"When a licensee represents more than one client in the same transaction, to whom does the licensee owe fiduciary duties?",Only to the seller of the property,Only to the buyer of the property,Only to the qualifying broker for whom the licensee works,To all clients the licensee represents,4,PREP-AL-STD-28.11,"When the licensee represents more than one client in the same transaction, he or she owes the same duties to all those represented clients, unless the duties to one client would violate the duties to other clients"
Which of the following duties does a licensee owe to a customer?,To put the customer's best interests ahead of any other party to the transaction,To disclose to the customer any known information that is material to the transaction,To answer questions related to the transaction completely and accurately,To fulfill all obligations required by the agency agreement,3,PREP-AL-STD-28.12,A licensee must answer all customer questions related to the transaction completely and accurately
Which of the following is NOT a penalty for violating any of the Alabama License Laws or AREC Administrative Rules?,License suspension,Fines,Criminal charges,Community service,4,PREP-AL-STD-29.1,Community service is not a penalty for violating any of the Alabama License Laws or AREC Administrative Rules
"If the AREC receives a complaint about a licensee allegedly violating a license law, which of the following will the Commission do first?",Suspend the licensee's license,Reprimand the licensee,Schedule a hearing about the complaint,Begin an investigation into the complaint,4,PREP-AL-STD-29.2,"If the AREC receives a complaint about a licensee allegedly violating a license law, the Commission will begin with an investigation into the complaint"
"When an individual does not admit guilt to a crime but accepts the punishment anyway, this is called",a guilty plea,a plea of nolo contendere,a plea of no responsibility,a plea accepting responsibility,2,PREP-AL-STD-29.3,A plea of nolo contendere is when an individual does not admit guilt to a crime but accepts the punishment anyways
Which of the following acts would represent fulfillment of an agent’s obligations to a client under the license law?,The licensee shares confidential information with another party to the transaction,The licensee does not disclose the agency relationship to the client at first interaction,The licensee discloses the property's structural defects to a potential buyer,The licensee does not present an offer to the seller that is way below the seller's asking price,3,PREP-AL-STD-29.4,A licensee is required to make all required disclosures
"If an individual files a lawsuit against a broker for misrepresentation, what must the broker do?",Resign from the company where he or she is employed,Notify the complainant's attorney that he or she did not misrepresent,Notify the AREC of the suit,Turn his or her license over to the AREC within 10 days after receiving notice of the action,3,PREP-AL-STD-29.5,"If an individual files a lawsuit against a broker for misrepresentation, the broker must notify the AREC within 10 days of receiving notice of the lawsuit"
Which of the following qualities is foremost when applying for a real estate license and practicing real estate?,Skill,Experience,Education,Honesty,4,PREP-AL-STD-29.6,"Under Alabama license law, the first obligation that licensees have to all consumers is to provide services honestly and in good faith"
Obtaining a real estate license by fraud is what type of violation issue?,Honesty and good faith issue,Accountability issue,Reporting issue,Representation issue,1,PREP-AL-STD-29.7,Obtaining a real estate license by fraud is violating the requirement of honesty and good faith
"Jeremy is representing a client who is selling his property. Jeremy has found a buyer for the property, but he knows the buyer won't qualify for the mortgage loan. So, Jeremy gives the buyer $10,000 that Jeremy knows he'll get  back in his commission. All the buyer has to do is agree to purchase this particular home and not tell anyone about the money. Has Jeremy broken a law, and if so, which one?","No, Jeremy has not broken any laws because he's simply helping out the buyer","No, Jeremy has not broken any laws because no one will know about the money","Yes, Jeremy has broken the law that says brokers must disclose confidential information to the client","Yes, Jeremy has broken the law that says rebates and incentives must be disclosed",4,PREP-AL-STD-29.8,"Giving any rebate or incentive legally depends mostly on how and when it is given. In Alabama, the incentive must be given before or at closing and must be disclosed to all parties involved in the transaction, to include the seller, buyer, and lender or guaranteeing agency (FHA, VA, HUD). A rebate or other incentive that is given after or outside of the closing and is related to the transaction violates the law. Since rebates given before or during closing must be disclosed, an undisclosed rebate related to the transaction also violates the law"
"If Sandra is selling a home that sustained structural damage from an earthquake, what allows her to avoid disclosing that damage to a potential buyer?",Caveat emptor,Keeping her client's confidential information confidential,The insignificance of the damage,"Nothing, she is required to disclose the damage",4,PREP-AL-STD-29.9,"Alabama license law states that licensees must not make a material misrepresentation or fail to disclose any latent structural defect or other defect to the potential buyer. The licensee must know about the defect(s), and the defects must not be trivial or insignificant. The defects must qualify as significant factors in the buyer deciding whether or not to purchase or lease the property"
"Charlie is advertising a home for sale. The home has 2 bedrooms, 1 bathroom, an unattached garage which the current owner is using as a bonus room, a do-it-yourself kitchen remodel that was never finished, and the home is located next to an empty lot. Which of the following advertisements for this home would be legal?","Beautiful 3 bed, 1 bath home with bonus room and newly remodeled kitchen. Call Charlie Juniper at 555-3939","3 bed, 1 bath fixer upper with detached garage. Located next to public park. Call Charlie Juniper at 555-3939","Partially remodeled home with 3 bed, 1 bath, and detached garage. Call Charlie Juniper, a licensed real estate broker, at 555-3939. Best Buy Realtors","Nice home that still needs some work. Partially remodeled kitchen, 3 bed, 1 bath, bonus room. Located next to empty lot. Call Best Buy Realtors at 555-3939 and ask for Charlie.",3,PREP-AL-STD-29.10,"Licensees must not publish or cause to be published any advertisement that deceives the public, even if it is only likely to deceive. Advertisements must not create a misleading impression"
"Jasper is Peggy's agent. Peggy and a buyer have signed a purchase agreement for Peggy's house. Although the transaction has not actually closed yet, they do have a contract in place. Jasper recently overheard the buyer saying he would have paid a lot more for the house if he'd had to. Jasper knows a higher selling price would mean a higher commission for him. What should Jasper do?",Tell Peggy right away and see if she wants to go forward with the transaction,Encourage Peggy to breach the contract and renegotiate the selling price,Tell Peggy not to pay for any needed repairs to the house because the buyer apparently has plenty of money to pay for them himself,Jasper should do nothing because the contract is already signed,4,PREP-AL-STD-29.11,The licensee must not convince either party to break the contract and substitute a new one that will benefit the licensee more than the original contract
Which of the following statements about the license law is TRUE?,A qualifying broker may hire an unlicensed person to show properties,"Two licensed persons may work together to pay their friend, an unlicensed person, to solicit business for them",No license is required to negotiate rent for a landlord,Any demonstration of untrustworthiness on the part of a licensee is a violation of the law,4,PREP-AL-STD-29.12,"Honesty and trustworthiness are required to be an Alabama real estate licensee, so proof of the contrary is a license law violation."
"If a licensee does not disclose the true terms of a real estate sale to a lender, the licensee is violating the mandate to make that disclosure. What other mandate is the licensee violating?",No deceitful advertising,Arranging financing without a license,No false promises,No untrustworthiness,4,PREP-AL-STD-29.13,"If a licensee does not disclose the true terms of a real estate sale to a lender, the licensee is violating trustworthiness"
Which of the following would violate the mandate for handling trust funds?,Depositing the funds in a federally insured bank in Alabama,Depositing the funds in a trust account with funds belonging to other clients,Depositing the funds in a separate trust account in Alabama,Depositing the funds in the company's business account in a federally insured bank in Alabama,4,PREP-AL-STD-29.14,Alabama license law requires licensees to have any money belonging to others deposited into a separate federally insured account in a financial institution located in Alabama
Which of the following statements is true about commingling?,Mixing one client's funds with another client's funds in the same trust account is commingling,Commingling is having funds received by different licensees deposited in the same trust account,Commingling is mixing a client's funds with the licensee's personal funds,"When the licensee turns the client's funds over to the qualifying broker, the funds become commingled",3,PREP-AL-STD-29.15,"Commingling, or mixing others' money with the licensee's personal or business funds is not allowed"
"If records related to real estate transactions are not kept for at least _________, a violation has occurred",1 year,3 years,5 years,10 years,2,PREP-AL-STD-29.16,The qualifying broker must keep records related to real estate transactions for at least 3 years
